Trigram,Trigram_sum,p_abc,p_a_x_p_b_x_p_c,PMI
when_you_see,2.0,0.0005745475438092502,8.457171334913031e-06,6.0861
when_you_talk,1.0,0.0002872737719046251,4.974806667595901e-07,9.1736
when_you_think,1.0,0.0002872737719046251,1.4924420002787702e-06,7.5886
when_you_use,2.0,0.0005745475438092502,1.0447094001951392e-05,5.7813
when_you_want,1.0,0.0002872737719046251,2.4874033337979506e-06,6.8516
whenever_someone_'s,1.0,0.0002872737719046251,8.929237434632674e-07,8.3297
whenever_someone_be,1.0,0.0002872737719046251,2.818290565305938e-06,6.6715
whenever_something_be,1.0,0.0002872737719046251,4.214266265878037e-06,6.091
whenever_something_blow,1.0,0.0002872737719046251,2.503524514382993e-07,10.1642
whenever_something_explode,1.0,0.0002872737719046251,6.676065371687981e-07,8.7492
whenever_you_'re,1.0,0.0002872737719046251,2.2270936825865373e-06,7.0111
whenever_you_be,1.0,0.0002872737719046251,6.426756055464007e-06,5.4822
whenever_you_ca,1.0,0.0002872737719046251,3.1179311556211516e-06,6.5257
whenever_you_fall,1.0,0.0002872737719046251,1.272624961478021e-07,11.1404
whenever_you_get,1.0,0.0002872737719046251,1.336256209551922e-06,7.7481
whenever_you_see,1.0,0.0002872737719046251,1.0817312172563179e-06,8.0529
where_he_be,1.0,0.0002872737719046251,3.3522572569484395e-08,13.065
where_people_can,1.0,0.0002872737719046251,7.28772192917928e-08,11.9447
who_argue_against,1.0,0.0002872737719046251,1.7069485325338588e-09,17.3606
who_be_an,1.0,0.0002872737719046251,1.0344108107155184e-06,8.1175
who_be_save,1.0,0.0002872737719046251,1.344734053930174e-05,4.417
who_can_fly,1.0,0.0002872737719046251,4.95015074434819e-08,12.5027
who_catch_you,1.0,0.0002872737719046251,4.164954419382615e-07,9.4299
who_create_different,1.0,0.0002872737719046251,5.1208455976015757e-08,12.4538
who_create_something,1.0,0.0002872737719046251,2.7311176520541738e-06,6.7168
who_defend_you,1.0,0.0002872737719046251,8.32990883876523e-07,8.4299
who_discover_something,1.0,0.0002872737719046251,2.184894121643339e-06,7.0387
who_discover_stuff,1.0,0.0002872737719046251,4.6429000084920954e-07,9.2732
who_discover_thing,1.0,0.0002872737719046251,5.462235304108348e-07,9.0387
who_do_experiment,3.0,0.0008618213157138753,2.640649379829879e-06,8.3504
who_do_potion,1.0,0.0002872737719046251,1.8639877975269735e-06,7.2679
who_do_science,2.0,0.0005745475438092502,2.4853170633692982e-06,7.8529
who_go_to,1.0,0.0002872737719046251,4.540483096540064e-06,5.9834
who_have_law,1.0,0.0002872737719046251,5.8036250106151186e-08,12.2732
who_help_other,1.0,0.0002872737719046251,5.462235304108348e-08,12.3606
who_help_people,1.0,0.0002872737719046251,1.447492355588712e-06,7.6327
who_invent_something,5.0,0.0014363688595231256,1.1470694138627528e-05,6.9683
who_invent_stuff,2.0,0.0005745475438092502,2.4375225044583497e-06,7.8809
who_invent_thing,4.0,0.0011490950876185005,2.867673534656882e-06,8.6464
who_make_law,1.0,0.0002872737719046251,1.8776433857872443e-07,10.5793
who_make_medicine,1.0,0.0002872737719046251,1.8776433857872443e-07,10.5793
who_make_potion,1.0,0.0002872737719046251,1.1265860314723464e-06,7.9943
who_make_something,2.0,0.0005745475438092502,1.5021147086297954e-05,5.2574
who_make_stuff,3.0,0.0008618213157138753,3.191993755838315e-06,8.0768
who_make_thing,1.0,0.0002872737719046251,3.7552867715744885e-06,6.2574
who_protect_people,2.0,0.0005745475438092502,5.428096333457669e-07,10.0478
who_save_live,1.0,0.0002872737719046251,6.657099276882049e-07,8.7533
who_save_people,8.0,0.002298190175237001,7.056525233494971e-06,8.3473
who_save_somebody,1.0,0.0002872737719046251,5.991389349193844e-06,5.5834
who_save_someone,2.0,0.0005745475438092502,1.4246192452527585e-05,5.3338
who_save_something,1.0,0.0002872737719046251,2.1302717686022557e-05,3.7533
who_save_the,8.0,0.002298190175237001,7.189667219032612e-06,8.3204
who_save_you,1.0,0.0002872737719046251,3.248664447118439e-05,3.1445
who_say_if,1.0,0.0002872737719046251,1.8435044151365673e-07,10.6058
who_study_something,1.0,0.0002872737719046251,2.4580058868487562e-06,6.8688
who_study_stuff,2.0,0.0005745475438092502,5.223262509553607e-07,10.1033
who_study_the,1.0,0.0002872737719046251,8.295769868114553e-07,8.4358
who_test_stuff,1.0,0.0002872737719046251,1.1607250021230239e-07,11.2732
who_use_potion,1.0,0.0002872737719046251,4.301510301985323e-07,9.3834
wild_resource_and,1.0,0.0002872737719046251,8.41620457013222e-09,15.0589
winter_or_summer,1.0,0.0002872737719046251,2.8449142208897643e-09,16.6237
with_a_ruler,1.0,0.0002872737719046251,1.049773347508323e-07,11.4181
with_somebody_and,1.0,0.0002872737719046251,2.2723752339356992e-07,10.304
without_any_notice,1.0,0.0002872737719046251,2.3707618507414705e-11,23.5306
woman_or_man,1.0,0.0002872737719046251,1.4224571104448822e-09,17.6237
word_like_that,1.0,0.0002872737719046251,7.927827628879476e-07,8.5013
word_that_be,1.0,0.0002872737719046251,8.428532531756076e-07,8.4129
work_a_a,1.0,0.0002872737719046251,2.152035362392062e-06,7.0606
work_at_a,1.0,0.0002872737719046251,8.748111229236025e-08,11.6812
work_for_them,1.0,0.0002872737719046251,1.9914399546228352e-09,17.1383
work_on_something,1.0,0.0002872737719046251,2.503524514382992e-07,10.1642
world_from_crime,1.0,0.0002872737719046251,2.133685665667323e-09,17.0387
would_be_6,1.0,0.0002872737719046251,4.78893893849777e-09,15.8724
would_do_experiment,1.0,0.0002872737719046251,7.335137166194108e-08,11.9353
you_'d_like,1.0,0.0002872737719046251,5.495425970018728e-07,9.03
you_'re_[,1.0,0.0002872737719046251,4.049261241066431e-07,9.4706
you_'re_a,1.0,0.0002872737719046251,2.4902956632558552e-05,3.528
you_'re_be,1.0,0.0002872737719046251,2.0448769267385477e-05,3.8123
you_'re_check,2.0,0.0005745475438092502,1.0123153102666077e-06,9.1486
you_'re_do,2.0,0.0005745475438092502,1.842413864685226e-05,4.9628
you_'re_friend,1.0,0.0002872737719046251,4.049261241066431e-07,9.4706
you_'re_hold,1.0,0.0002872737719046251,6.073891861599647e-07,8.8856
you_'re_in,7.0,0.002010916403332376,5.466502675439682e-06,8.523
you_'re_invent,1.0,0.0002872737719046251,8.503448606239504e-06,5.0782
you_'re_learn,1.0,0.0002872737719046251,2.0246306205332155e-06,7.1486
you_'re_look,1.0,0.0002872737719046251,8.098522482132862e-07,8.4706
you_'re_make,1.0,0.0002872737719046251,1.1135468412932685e-05,4.6892
you_'re_measure,4.0,0.0011490950876185005,5.26403961338636e-06,7.7701
you_'re_save,1.0,0.0002872737719046251,1.5792118840159082e-05,4.1851
you_'re_squeeze,1.0,0.0002872737719046251,4.049261241066431e-07,9.4706
you_'re_try,2.0,0.0005745475438092502,2.0246306205332155e-06,8.1486
you_'re_use,1.0,0.0002872737719046251,4.251724303119752e-06,6.0782
you_a_lot,1.0,0.0002872737719046251,4.980591326511711e-06,5.85
you_a_ticket,1.0,0.0002872737719046251,7.115130466445301e-07,8.6573
you_achieve_something,1.0,0.0002872737719046251,9.2554542652947e-07,8.2779
you_adapt_to,1.0,0.0002872737719046251,5.495425970018728e-07,9.03
you_and_ca,1.0,0.0002872737719046251,2.012482836810016e-05,3.8354
you_bad_stuff,1.0,0.0002872737719046251,9.833920156875618e-07,8.1904
you_be_a,2.0,0.0005745475438092502,7.186281771109752e-05,2.9991
you_be_direct,1.0,0.0002872737719046251,5.842505504967279e-07,8.9416
you_be_get,1.0,0.0002872737719046251,1.2269261560431284e-05,4.5493
you_be_in,1.0,0.0002872737719046251,1.5774764863411652e-05,4.1867
you_be_make,1.0,0.0002872737719046251,3.213378027732003e-05,3.1603
you_be_open-minded,1.0,0.0002872737719046251,5.842505504967279e-07,8.9416
you_be_try,1.0,0.0002872737719046251,5.842505504967279e-06,5.6197
you_build_something,1.0,0.0002872737719046251,1.85109085305894e-06,7.2779
you_ca_n't,39.0,0.01120367710428038,1.5306207491231108e-05,9.5156
you_can_invent,2.0,0.0005745475438092502,7.045714559455589e-06,6.3495
you_can_know,1.0,0.0002872737719046251,1.8453061941431305e-06,7.2824
you_can_make,1.0,0.0002872737719046251,9.226530970715652e-06,4.9605
you_can_manage,1.0,0.0002872737719046251,1.6775510855846643e-07,10.7419
you_can_never,1.0,0.0002872737719046251,3.3551021711693286e-07,9.7419
you_can_not,7.0,0.002010916403332376,2.8518368454939287e-06,9.4617
you_can_represent,1.0,0.0002872737719046251,6.710204342338657e-07,8.7419
you_can_say,1.0,0.0002872737719046251,6.710204342338657e-07,8.7419
you_can_use,2.0,0.0005745475438092502,3.5228572797277943e-06,7.3495
you_can_weigh,1.0,0.0002872737719046251,5.032653256753992e-07,9.1569
you_check_on,1.0,0.0002872737719046251,3.181562403695053e-07,9.8185
you_check_what,1.0,0.0002872737719046251,2.0246306205332156e-07,10.4706
you_come_to,1.0,0.0002872737719046251,1.648627791005618e-06,7.445
you_create_something,1.0,0.0002872737719046251,9.255454265294699e-06,4.956
you_create_stuff,1.0,0.0002872737719046251,1.9667840313751235e-06,7.1904
