Bigram,Bigram_sum,p_ab,p_a_x_p_b,PMI
people_not,1.0,0.0002872737719046251,7.435612424190382e-05,1.9499
people_out,1.0,0.0002872737719046251,5.2486675935461525e-05,2.4524
people_safe,1.0,0.0002872737719046251,4.373889661288461e-06,6.0374
people_small,1.0,0.0002872737719046251,2.6243337967730763e-05,3.4524
people_that,6.0,0.0017236426314277506,0.000769804580386769,1.1629
people_to,2.0,0.0005745475438092502,0.0004155195178224037,0.4675
people_use,1.0,0.0002872737719046251,9.185168288705766e-05,1.645
people_when,1.0,0.0002872737719046251,0.0003761545108708076,-0.3889
person_'s,1.0,0.0002872737719046251,0.0001161969177942293,1.3059
person_make,2.0,0.0005745475438092502,0.00019971345245883157,1.5245
person_that,20.0,0.005745475438092502,0.000639083047868261,3.1684
person_try,1.0,0.0002872737719046251,3.6311536810696655e-05,2.9839
person_who,13.0,0.0037345590347601263,0.0002614430650370159,3.8364
phone_or,1.0,0.0002872737719046251,2.475786600729317e-06,6.8584
pick_them,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
picture_from,1.0,0.0002872737719046251,4.126311001215529e-07,9.4434
piece_of,1.0,0.0002872737719046251,1.4854719604375905e-06,7.5954
place_and,1.0,0.0002872737719046251,5.273425459553446e-05,2.4456
place_for,1.0,0.0002872737719046251,5.1991518615315664e-06,5.788
place_in,1.0,0.0002872737719046251,2.005387146590747e-05,3.8405
place_that,1.0,0.0002872737719046251,0.00013072153251850795,1.1359
place_to,1.0,0.0002872737719046251,7.055991812078555e-05,2.0255
police_not,1.0,0.0002872737719046251,1.4029457404132797e-06,7.6778
possible_that,1.0,0.0002872737719046251,8.714768834567196e-05,1.7209
potion_and,3.0,0.0008618213157138753,7.031233946071262e-05,3.6155
press_and,1.0,0.0002872737719046251,1.1718723243452104e-05,4.6155
pressure_be,1.0,0.0002872737719046251,7.501633400209832e-05,1.9371
pressure_because,1.0,0.0002872737719046251,1.4854719604375905e-06,7.5954
pressure_down,1.0,0.0002872737719046251,7.427359802187952e-07,8.5954
pressure_how,1.0,0.0002872737719046251,2.970943920875181e-05,3.2734
pressure_like,1.0,0.0002872737719046251,7.055991812078555e-05,2.0255
pressure_on,1.0,0.0002872737719046251,8.170095782406747e-06,5.1359
principal_you,1.0,0.0002872737719046251,2.013639768593178e-05,3.8345
problem_of,1.0,0.0002872737719046251,2.970943920875181e-06,6.5954
protect_or,1.0,0.0002872737719046251,1.4854719604375903e-05,4.2734
protect_people,2.0,0.0005745475438092502,2.6243337967730763e-05,4.4524
protect_someone,2.0,0.0005745475438092502,5.298183325560739e-05,3.4389
protect_you,1.0,0.0002872737719046251,0.00012081838611559067,1.2496
public_go,1.0,0.0002872737719046251,2.3107341606806964e-06,6.9579
push-_hurry,1.0,0.0002872737719046251,2.475786600729317e-07,10.1803
push_or,1.0,0.0002872737719046251,1.7330506205105223e-05,4.051
push_something,3.0,0.0008618213157138753,9.242936642722785e-05,3.221
push_you,2.0,0.0005745475438092502,0.00014095478380152246,2.0272
put_metal,1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
put_out,1.0,0.0002872737719046251,2.9709439208751806e-06,6.5954
put_pressure,1.0,0.0002872737719046251,2.2282079406563854e-06,7.0104
read_it,1.0,0.0002872737719046251,1.881597816554281e-05,3.9324
read_thing,1.0,0.0002872737719046251,9.903146402917269e-06,4.8584
